CICLO,ENTE,RAMO,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_PENSIONES_Y_JUBILACIONES,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_PENSIONES_Y_JUBILACIONES,PORCENTAJE_INVERSIÓN
2013,Ramos Administrativos,Agricultura y Desarrollo Rural,Aprobado,6965455257.0,5526598393.0,62165548689.0,354889316.0,75012491655.0,,390036466.0,,,390036466.0,75402528121.0,99.48272760115668,,0.5172723988433126
2013,Ramos Administrativos,Agricultura y Desarrollo Rural,Modificado,7021821668.059996,5328930049.970001,59023892708.590004,803081700.6799998,72177726127.29999,,829311834.8700001,,,829311834.8700001,73007037962.16998,98.8640659064956,,1.1359340935044155
2013,Ramos Administrativos,Agricultura y Desarrollo Rural,Devengado,7021289558.369997,5328399506.51,59023892704.47001,803081700.4599999,72176663469.81001,,829311833.1400001,,,829311833.1400001,73005975302.95001,98.86404937445376,,1.1359506255462481
2013,Ramos Administrativos,Agricultura y Desarrollo Rural,Ejercicio,7021289558.369997,5328399506.57,59023892704.47001,803081700.4599999,72176663469.87001,,829311833.1400001,,,829311833.1400001,73005975303.01001,98.8640493744547,,1.1359506255453147
2013,Ramos Administrativos,"Infraestructura, Comunicaciones y Transportes",Aprobado,7014159894.0,6212286513.0,13500000.0,4406863696.0,17646810103.0,,67280215953.0,1316872805.0,,68597088758.0,86243898861.0,20.461517088230796,,79.53848291176921
2013,Ramos Administrativos,"Infraestructura, Comunicaciones y Transportes",Modificado,7701432374.830002,4141851330.01,25314473.77,2768872049.49,14637470228.100002,,64936980115.07993,1259382959.1200001,,66196363074.199936,80833833302.29993,18.1080985895587,,81.89190141044132
2013,Ramos Administrativos,"Infraestructura, Comunicaciones y Transportes",Devengado,7701432374.83,4141387374.62,25314473.77,2768872049.8900003,14637006273.11,,64930663421.35994,1259371369.1100001,,66190034790.46994,80827041063.57994,18.10904628018769,,81.89095371981232
2013,Ramos Administrativos,"Infraestructura, Comunicaciones y Transportes",Ejercicio,7701432374.83,4140990991.669999,25314473.77,2768872049.49,14636609889.76,,64928321677.409935,1259365993.19,,66187687670.59994,80824297560.35994,18.109170548410045,,81.89082945158995
2013,Ramos Administrativos,Economía,Aprobado,3396561842.0,1870071712.0,672543020.0,1529460978.0,7468637552.0,,4948761699.0,7965883287.0,,12914644986.0,20383282538.0,36.64099508053437,,63.35900491946563
2013,Ramos Administrativos,Economía,Modificado,3299764166.0000024,1637439779.88,427106599.59,800758341.0899999,6165068886.560003,,5570161446.22,7933737563.8099985,,13503899010.029999,19668967896.59,31.344140266906624,,68.65585973309338
